client_code,product,push_notification
CLIENT_001,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_002,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_003,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_004,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_005,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_006,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_007,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_008,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_009,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_010,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_011,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_012,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_013,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_014,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_015,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_016,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_017,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_018,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_019,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_020,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_021,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_022,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_023,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_024,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_025,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_026,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_027,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_028,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_029,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_030,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_031,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_032,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_033,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_034,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_035,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_036,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_037,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_038,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_039,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_040,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_041,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_042,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_043,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_044,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_045,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_046,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_047,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_048,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_049,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_050,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_051,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_052,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_053,Обмен валют,💱 Выгодный обмен валют без комиссии. Лучший курс в городе! Обменивайте валюту выгодно и безопасно.
CLIENT_054,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_055,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_056,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_057,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.
CLIENT_058,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_059,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.
CLIENT_060,Обмен валют,💱 Выгодный обмен валют без комиссии. Лучший курс в городе! Обменивайте валюту выгодно и безопасно.
